eta_L1 = 1.088115601401493e-09
t, rPC, hdPC, enPC
0, 0.884850166481687, 0.8902743142144638, 0.8853932584269663
1, 0.9270255271920089, 0.9625935162094763, 0.9305867665418227
2, 0.9028856825749167, 0.9226932668329177, 0.9048689138576779
3, 0.9345172031076582, 0.9650872817955112, 0.9375780274656679
4, 0.925638179800222, 0.9600997506234414, 0.9290886392009987
5, 0.9428412874583796, 0.9775561097256857, 0.9463171036204744
6, 0.9392341842397336, 0.9825436408977556, 0.9435705368289637
7, 0.9439511653718091, 0.9800498753117207, 0.947565543071161
8, 0.9445061043285239, 0.9825436408977556, 0.9483146067415731
9, 0.9464483906770256, 0.9825436408977556, 0.9500624219725343
10, 0.9486681465038845, 0.9800498753117207, 0.9518102372034957
11, 0.9497780244173141, 0.9800498753117207, 0.952808988764045
12, 0.9503329633740288, 0.9825436408977556, 0.9535580524344569
13, 0.951165371809101, 0.9825436408977556, 0.954307116104869
14, 0.9514428412874584, 0.9825436408977556, 0.9545568039950062
15, 0.9519977802441731, 0.9825436408977556, 0.9550561797752809
16, 0.9528301886792453, 0.9825436408977556, 0.9558052434456928
17, 0.9528301886792453, 0.9800498753117207, 0.9555555555555556
18, 0.9539400665926748, 0.9800498753117207, 0.9565543071161049
19, 0.9539400665926748, 0.9800498753117207, 0.9565543071161049
20, 0.9544950055493896, 0.9800498753117207, 0.9570536828963795
21, 0.9544950055493896, 0.9800498753117207, 0.9570536828963795
22, 0.9544950055493896, 0.9800498753117207, 0.9570536828963795
23, 0.954772475027747, 0.9800498753117207, 0.9573033707865168
24, 0.954772475027747, 0.9800498753117207, 0.9573033707865168
25, 0.9544950055493896, 0.9800498753117207, 0.9570536828963795
26, 0.9550499445061044, 0.9825436408977556, 0.9578027465667915
27, 0.9553274139844617, 0.9825436408977556, 0.9580524344569289
28, 0.9558823529411765, 0.9825436408977556, 0.9585518102372035
29, 0.9561598224195339, 0.9825436408977556, 0.9588014981273408
30, 0.9564372918978913, 0.9800498753117207, 0.9588014981273408
31, 0.9564372918978913, 0.9800498753117207, 0.9588014981273408
32, 0.9567147613762487, 0.9800498753117207, 0.9590511860174782
33, 0.9572697003329633, 0.9800498753117207, 0.9595505617977528
34, 0.9572697003329633, 0.9800498753117207, 0.9595505617977528
35, 0.9578246392896781, 0.9800498753117207, 0.9600499375780275
36, 0.9578246392896781, 0.9800498753117207, 0.9600499375780275
37, 0.9583795782463929, 0.9800498753117207, 0.9605493133583021
38, 0.9586570477247502, 0.9800498753117207, 0.9607990012484394
39, 0.9589345172031076, 0.9800498753117207, 0.9610486891385768
40, 0.9589345172031076, 0.9800498753117207, 0.9610486891385768
41, 0.9594894561598224, 0.9800498753117207, 0.9615480649188515
42, 0.9597669256381798, 0.9800498753117207, 0.9617977528089887
43, 0.9600443951165372, 0.9825436408977556, 0.9622971285892634
44, 0.9603218645948945, 0.9825436408977556, 0.9625468164794008
45, 0.9603218645948945, 0.9825436408977556, 0.9625468164794008
46, 0.9605993340732519, 0.9825436408977556, 0.9627965043695381
47, 0.9617092119866815, 0.9825436408977556, 0.9637952559300874
48, 0.9614317425083241, 0.9825436408977556, 0.9635455680399501
49, 0.9617092119866815, 0.9825436408977556, 0.9637952559300874
50, 0.9622641509433962, 0.9825436408977556, 0.964294631710362
51, 0.9622641509433962, 0.9825436408977556, 0.964294631710362
52, 0.9622641509433962, 0.9825436408977556, 0.964294631710362
53, 0.9619866814650389, 0.9825436408977556, 0.9640449438202248
54, 0.9619866814650389, 0.9825436408977556, 0.9640449438202248
55, 0.9622641509433962, 0.9825436408977556, 0.964294631710362
56, 0.9625416204217536, 0.9825436408977556, 0.9645443196004994
57, 0.962819089900111, 0.9825436408977556, 0.9647940074906367
58, 0.9630965593784684, 0.9825436408977556, 0.9650436953807741
59, 0.9630965593784684, 0.9825436408977556, 0.9650436953807741
60, 0.9630965593784684, 0.9825436408977556, 0.9650436953807741
61, 0.962819089900111, 0.9825436408977556, 0.9647940074906367
62, 0.962819089900111, 0.9825436408977556, 0.9647940074906367
63, 0.962819089900111, 0.9825436408977556, 0.9647940074906367
64, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
65, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
66, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
67, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
68, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
69, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
70, 0.962819089900111, 0.9850374064837906, 0.9650436953807741
71, 0.9630965593784684, 0.9850374064837906, 0.9652933832709114
72, 0.9630965593784684, 0.9850374064837906, 0.9652933832709114
73, 0.9630965593784684, 0.9850374064837906, 0.9652933832709114
74, 0.9630965593784684, 0.9850374064837906, 0.9652933832709114
75, 0.9633740288568258, 0.9850374064837906, 0.9655430711610486
76, 0.9636514983351832, 0.9850374064837906, 0.965792759051186
77, 0.9636514983351832, 0.9850374064837906, 0.965792759051186
78, 0.9639289678135405, 0.9850374064837906, 0.9660424469413234
79, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
80, 0.9644839067702553, 0.9850374064837906, 0.966541822721598
81, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
82, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
83, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
84, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
85, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
86, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
87, 0.9642064372918979, 0.9850374064837906, 0.9662921348314607
88, 0.9644839067702553, 0.9850374064837906, 0.966541822721598
89, 0.9647613762486127, 0.9850374064837906, 0.9667915106117353
90, 0.9647613762486127, 0.9850374064837906, 0.9667915106117353
91, 0.9647613762486127, 0.9850374064837906, 0.9667915106117353
92, 0.9647613762486127, 0.9850374064837906, 0.9667915106117353
93, 0.9650388457269701, 0.9850374064837906, 0.9670411985018726
94, 0.9653163152053275, 0.9850374064837906, 0.96729088639201
95, 0.9655937846836848, 0.9850374064837906, 0.9675405742821473
96, 0.9658712541620422, 0.9850374064837906, 0.9677902621722847
97, 0.9658712541620422, 0.9850374064837906, 0.9677902621722847
98, 0.9658712541620422, 0.9850374064837906, 0.9677902621722847
99, 0.9658712541620422, 0.9850374064837906, 0.9677902621722847
