eta_L2 = 1.088115601401493e-09
t, rPC, hdPC, enPC
0, 0.884850166481687, 0.8902743142144638, 0.8853932584269663
1, 0.24667036625971142, 0.30174563591022446, 0.25218476903870163
2, 0.6678690344062154, 0.600997506234414, 0.6611735330836455
3, 0.43562708102108766, 0.4488778054862843, 0.4369538077403246
4, 0.6265260821309656, 0.5810473815461347, 0.6219725343320849
5, 0.4669811320754717, 0.46384039900249374, 0.4666666666666667
6, 0.6134850166481687, 0.57356608478803, 0.6094881398252184
7, 0.4736403995560488, 0.4713216957605985, 0.47340823970037454
8, 0.5435627081021087, 0.5286783042394015, 0.5420724094881398
9, 0.47863485016648166, 0.47880299251870323, 0.4786516853932584
10, 0.5194228634850167, 0.5112219451371571, 0.5186017478152309
11, 0.47891231964483905, 0.4837905236907731, 0.4794007490636704
12, 0.5191453940066593, 0.5112219451371571, 0.5183520599250936
13, 0.4800221975582686, 0.4837905236907731, 0.4803995006242197
14, 0.5191453940066593, 0.5112219451371571, 0.5183520599250936
15, 0.48057713651498335, 0.486284289276808, 0.4811485642946317
